source_csv_line,isotope,state_label,initial_trigger,post_VS_HF,post_Rurarz_HF,post_trigger,audit_status,action_or_note,source_basis
140,266Hs,,VS<1|R<1,0.388397639104,0.433278793299,VS<1|R<1,verified_review_value,0.74 ms ground-state value retained from state-resolved review treatment,doi:10.1140/epjs/s11734-024-01150-1
144,270Hs,,VS<1|R<1,0.712027841819,0.876763856912,VS<1|R<1,verified,7.6 s and Qalpha=9.07 MeV verified; no firm SF branch,NNDC ENSDF adopted + Ackermann review table
148,275Hs,,VS<1|R<1,0.226839290295,0.278074025827,VS<1|R<1,verified_qualified,Alpha>89% makes the reported HF an upper limit,Ackermann review table + doi:10.1103/PhysRevC.109.054307
153,274Mt,,VS>100|R>100,570.315077148,616.044119871,VS>100|R>100,verified_qualified,Qalpha is systematic and alpha branching is approximate; large HF is not an exact value,NNDC ENSDF adopted + NUBASE2020
158,267Ds,,VS<1|R<1,0.739484855929,0.582875236036,VS<1|R<1,verified_qualified,One-event uncertain activity retained with uncertainty qualifier,NNDC ENSDF adopted
162,273Ds^a,a,VS>100,101.518149595,97.1098323987,VS>100,verified_state_resolved,17.34 ms state and Ealpha=10.89 MeV transition retained separately from the short-lived state,User-supplied original paper table
165,276Ds,,VS<1|R<1,0.899274549493,0.893549048207,VS<1|R<1,verified_newer_source,New 2023 isotope absent from older evaluations,doi:10.1103/PhysRevC.108.024611
171,274Rg,,VS>100|R>100,368.022227684,312.228163629,VS>100|R>100,verified,12 ms and Qalpha near 11.48 MeV verified,NNDC ENSDF adopted + NUBASE2020
175,281Rg,,VS>100|R>100,233.635149409,237.560228935,VS>100|R>100,unresolved_warning,Review gives 14/88 whose central values sum to 102%; retained without arbitrary normalization,Ackermann review table; ENSDF gives older 18/82
182,284Cn,,VS<1|R<1,0.350194172779,0.329312168638,VS<1|R<1,verified_newer_source,98 ms and recommended 2/98 branches retained from newer compilation,Ackermann review table + post-2019 data
183,285Cn,,VS<1|R<1,0.866502922433,0.802269690137,VS<1|R<1,verified,33 s alpha activity verified,NNDC ENSDF adopted + Ackermann review table
184,286Cn,,VS<1|R<1,0.123202750659,0.112296964417,VS<1|R<1,verified_qualified,Tentative parenthesized assignment and systematic Qalpha retained; HF is not a firm ground-state value,Ackermann review table citing Kaji2017
185,278Nh,,VS>100|R>100,244.450644519,172.654391555,VS>100|R>100,verified,Millisecond alpha activity and high transition energy verified,NNDC ENSDF adopted + Ackermann review table
191,284Fl,,VS<1|R<1,0.652685413088,0.526547344827,VS<1|R<1,verified_newer_source,24% alpha branch is from the newer review compilation,Ackermann review table + doi:10.1103/k2g4-5k7x
193,286Fl,,VS>100|R>100,1.53396319969,1.26010137912,none,corrected_removed_from_extreme,Half-life unit corrected from 105 s to 105 ms; branches retained as 40/60,Ackermann review table + NNDC ENSDF millisecond-scale activity
194,287Fl,,VS<1|R<1,0.961865232365,0.790080483442,VS<1|R<1,verified_qualified,Alpha>70% makes HF an upper limit,Ackermann review table + NNDC ENSDF adopted
195,288Fl,,VS<1|R<1,0.705684295675,0.576414412902,VS<1|R<1,verified,0.64 s alpha-dominant decay verified,NNDC ENSDF adopted + Ackermann review table
196,289Fl,,R<1,1.1484698384,0.930163652786,R<1,verified,2.4 s and Qalpha near 9.95 MeV verified,NNDC ENSDF adopted + Ackermann review table
197,290Fl,,VS<1|R<1,0.120082098388,0.0961723272089,VS<1|R<1,verified_qualified,Tentative parenthesized assignment and half-life upper limit retained,Ackermann review table citing Kaji2017
203,288Lv,,VS<1|R<1,0.695816898323,0.774002156203,VS<1|R<1,verified_newer_source,New 2025 isotope absent from older evaluations,Ackermann review table + doi:10.1103/k2g4-5k7x
204,289Lv,,VS<1|R<1,0.29155408197,0.332753736129,VS<1|R<1,verified_newer_source,New 2025 activity retained from the latest review compilation,Ackermann review table + doi:10.1103/k2g4-5k7x
205,290Lv,,VS<1|R<1,0.722655356503,0.82759049718,VS<1|R<1,verified,8.3 ms and Qalpha near 11.0 MeV verified,NNDC ENSDF adopted + Ackermann review table
206,291Lv,,VS<1|R<1,0.863464545958,0.997695696255,VS<1|R<1,verified_qualified,Alpha branching is approximate; HF inherits the approximation,NNDC ENSDF adopted + Ackermann review table
207,292Lv,,VS<1|R<1,0.326306368682,0.378872796445,VS<1|R<1,verified_qualified,Alpha branching is approximate; HF inherits the approximation,NNDC ENSDF adopted + Ackermann review table
208,293Lv,,VS<1|R<1,0.728193188622,0.848543316682,VS<1|R<1,verified_newer_source,57 ms value retained from newer compilation rather than older 95 ms evaluation,Ackermann review table
